Country,ROS_5,ROS_5_log10,Standard density,Standard density_log10,Lived Density,Lived Density_log10,PWD_WP_v2_scaled,PWD_WP_v2_scaled_log,Individualism,total_deaths_per_million (120 days after 1st case),total_deaths_per_million (120 days after 1st case)_log
AUT,25,1.397940009,106,2.02530587,220,2.34242268,2084.050014,3.318908137,55,76.9,1.9
BEL,67,1.826074803,376,2.57518784,434,2.63748973,2803.598341,3.447715794,78,823.5,2.9
BGR,10,1,63,1.79934055,312,2.49415459,1000.394502,3.000171296,30,35.4,1.5
HRV,7,0.84509804,72,1.8573325,161,2.20682588,951.9756991,2.978625862,33,26.1,1.4
CYP,9,0.954242509,149,2.17318627,319,2.50379068,1503.618534,3.17713767,,21.7,1.3
CZE,16,1.204119983,135,2.13033377,236,2.372912,1198.218334,3.07853596,58,29.9,1.5
DNK,24,1.380211242,135,2.13033377,183,2.26245109,2760.551368,3.440995833,74,104.1,2
EST,19,1.278753601,29,1.462398,62,1.79239169,3826.713961,3.582826001,60,52,1.7
FIN,17,1.230448921,16,1.20411998,53,1.72427587,944.1725478,2.975051369,63,56.5,1.8
FRA,30,1.477121255,123,2.08990511,195,2.29003461,3589.564504,3.555041762,71,455.3,2.7
DEU,13,1.113943352,233,2.36735592,376,2.57518784,1640.846638,3.215067992,67,99.6,2
GRC,15,1.176091259,81,1.90848502,379,2.57863921,5654.295117,3.752378472,35,18.3,1.3
HUN,10,1,105,2.0211893,368,2.56584782,2280.453085,3.358021142,80,60.8,1.8
ISL,7,0.84509804,3.5,0.54406804,187,2.27184161,989.4418514,2.995390276,,29.3,1.5
IRL,22,1.342422681,70,1.84509804,81,1.90848502,2202.694407,3.342954249,70,352,2.5
ITA,29,1.462397998,200,2.30103,453,2.6560982,4460.391768,3.649373006,76,549.6,2.7
LVA,5,0.698970004,30,1.47712125,116,2.06445799,1096.352868,3.039950357,70,15.9,1.2
LTU,8,0.903089987,43,1.63346846,85,1.92941893,702.2364238,2.846483352,60,28.7,1.5
LUX,8,0.903089987,237,2.37474835,308,2.48855072,1749.801225,3.242988716,60,175.7,2.2
NLD,24,1.380211242,420,2.62324929,546,2.73719264,2289.086455,3.359662196,80,356.2,2.6
NOR,8,0.903089987,17,1.23044892,89,1.94939001,790.8681656,2.898104094,69,45.9,1.7
POL,7,0.84509804,123,2.08990511,196,2.29225607,1627.421235,3.211499978,60,39,1.6
PRT,33,1.51851394,112,2.04921802,255,2.40654018,3468.697604,3.54016644,27,154.6,2.2
ROU,29,1.462397998,81,1.90848502,402,2.60422605,5770.681407,3.761227098,30,81.4,1.9
SVK,13,1.113943352,111,2.04532298,358,2.55388303,1215.000385,3.084576416,52,5.1,0.7
SVN,13,1.113943352,103,2.01283722,153,2.18469143,1140.475618,3.057086005,27,53.4,1.7
ESP,47,1.672097858,93,1.96848295,737,2.86746749,4980.298628,3.697255385,51,580.2,2.8
SWE,16,1.204119983,23,1.36172784,84,1.92427929,2245.818363,3.351374629,71,435.2,2.6
CHE,19,1.278753601,208,2.31806333,385,2.58546073,2479.023122,3.394280577,69,194.2,2.3
GBR,28,1.447158031,274,2.43775056,478,2.72509452,4265.496946,3.629969635,89,562.1,2.7
CAN,18,1.255272505,4,0.60205999,,,3188.099202,3.503531827,80,170.2,2.2
USA,17,1.230448921,34,1.53147892,,,2241.273881,3.35049493,91,277.7,2.4
ISR,17,1.230448921,417,2.62013605,,,4678.496366,3.670106296,46,35.2,1.5
CHN,56,1.748188,146,2.164352856,,,7097.645889,3.851114328,20,3.2,0.5
HKG,,,6781,3.831293744,,,46300.50772,4.665585753,25,0.5,-0.3
JPN,6,0.778151,333,2.522444234,,,5337.635021,3.727348874,46,5.4,0.7
SGP,6,0.778151,7894,3.897297122,,,21925.04094,4.340940413,20,3.9,0.6
KOR,13,1.113943,516,2.712649702,,,9264.862953,3.966839,18,5.1,0.7
TWN,5,0.69897,652,2.814247596,,,10602.12665,4.025392988,17,0.3,-0.5
IDN,25,1.39794,141,2.149219113,,,3446.586848,3.537389226,14,5.9,0.8
MYS,23,1.361728,99,1.995635195,,,2744.936859,3.438532359,27,3.6,0.6
PHL,17,1.230449,362,2.558708571,,,9254.322461,3.966344628,32,8.4,0.9
THA,6,0.778151,130,2.113943352,,,2832.200762,3.452124035,20,0.8,-0.1
AUS,7,0.84509804,3,0.477121255,,,2272.996259,3.356598721,90,4,0.6
NZL,11,1.041392685,19,1.278753601,,,2029.616558,3.307413997,79,4.6,0.7
